id,name,city_id,category,description,ticket_price,opening_hours,address
nj_zhongshanling,中山陵,nanjing,历史遗迹,孙中山先生陵墓，中国近代建筑史上的第一陵,免费预约,8:30-17:00,玄武区石象路7号
nj_mingxiaoling,明孝陵,nanjing,历史遗迹,明太祖朱元璋与马皇后陵墓，中国明皇陵之首,70元,6:30-18:30,钟山风景区
nj_lingusi,灵谷寺,nanjing,寺庙,南朝古寺，可吃素面观萤火虫,35元,6:30-18:00,钟山风景区
nj_meilinggong,美龄宫,nanjing,历史建筑,宝石项链般的民国建筑，蒋宋故居,30元,7:30-18:00,钟山风景区
nj_fuzimiao,夫子庙,nanjing,历史遗迹,中国四大文庙之一，秦淮河畔标志性建筑,30元,9:00-22:00,秦淮河北岸贡院街
nj_jiangnangongyuan,江南贡院,nanjing,历史遗迹,中国古代最大科举考场，现为科举博物馆,50元,9:00-22:00,夫子庙附近
nj_wuyixiang,乌衣巷,nanjing,历史街区,王谢故居所在，旧时王谢堂前燕,免费,全天,秦淮区
nj_laomendong,老门东,nanjing,历史街区,老街巷吃喝玩乐，传统民居与老字号,免费,全天,秦淮区剪子巷
nj_zhanyuan,瞻园,nanjing,园林,南京历史最悠久的园林，江南四大名园之一,30元,8:00-17:30,秦淮区瞻园路128号
nj_gxzd,甘熙宅第,nanjing,历史建筑,南京民俗博物馆，九十九间半,20元,9:00-17:00,南浦厅19号
nj_bowuyuan,南京博物院,nanjing,博物馆,中国三大博物院之一，18件镇馆之宝,免费,9:00-18:00,秦淮区中山东路321号
nj_yunjin,云锦博物馆,nanjing,博物馆,中国唯一云锦专业博物馆，寸锦寸金,免费,9:00-17:30,茶亭东街240号
nj_liuchao,六朝博物馆,nanjing,博物馆,六朝文化专题博物馆，贝建中设计,30元,9:00-17:00,玄武区长江路302号
nj_jnzz,江宁织造博物馆,nanjing,博物馆,康熙与曹雪芹的不解之缘，红楼梦文化,30元,9:00-17:00,玄武区长江路123号
nj_chaotiangong,朝天宫,nanjing,历史遗迹,明清古建筑群，南京市博物馆所在地,20元,9:00-18:00,秦淮区王府大街
nj_baochuanchang,龙江宝船厂遗址,nanjing,历史遗迹,郑和下西洋宝船建造地,30元,8:30-17:30,漓江路31号
nj_chengqiang,南京城墙,nanjing,历史遗迹,现存世界第一大城墙，600多年历史,30-50元,8:30-17:00,多段分布
nj_jimingsi,鸡鸣寺,nanjing,寺庙,南朝第一寺，赏春樱观城墙,10元,7:30-17:00,玄武区鸡鸣寺路1号
nj_xuanwuhu,玄武湖,nanjing,自然风光,金陵明珠，江南皇家园林,免费,9:00-17:00,玄武区玄武巷1号
nj_nandagulou,南京大学鼓楼校区,nanjing,校园,金陵大学旧址，百年老校,免费,全天,鼓楼区汉口路22号
nj_dongda,东南大学四牌楼校区,nanjing,校园,中央大学旧址，六朝宫苑遗址,免费,全天,玄武区四牌楼2号
nj_nanshida,南京师范大学随园校区,nanjing,校园,金陵女子大学旧址，东方最美丽校园,免费,全天,鼓楼区宁海路122号
nj_hehai,河海大学西康路校区,nanjing,校园,小清新校园与旋转楼梯图书馆,免费,全天,鼓楼区西康路1号
nj_nantushu,南京图书馆,nanjing,文化设施,中国第三大图书馆,免费,9:00-17:30,玄武区中山东路189号
nj_xianfeng,先锋书店,nanjing,文化设施,全球最美书店，南京文化地标,免费,10:00-22:00,鼓楼区广州路173号
nj_yihelu,颐和路公馆区,nanjing,历史街区,一条颐和路半部民国史，民国建筑群,免费,全天,鼓楼区颐和路
nj_1912,1912时尚街区,nanjing,商业街区,复古夜生活，时尚餐厅酒吧聚集地,免费,全天,玄武区长江后街8号
nj_zjtiantai,紫金山天文台,nanjing,科普场所,解放前中国唯一天文台，中国现代天文摇篮,15元,9:00-16:00,玄武区钟山西峰
nj_pukou,浦口火车站,nanjing,历史建筑,民国建筑遗址，情深深雨蒙蒙取景地,免费,全天,浦口区
nj_sifang,四方当代美术馆,nanjing,美术馆,建筑艺术品，24位国际建筑师作品,免费,10:00-17:00,浦口区珍七路
nj_zifeng,紫峰大厦,nanjing,现代建筑,南京最高建筑，观景平台俯瞰全城,80元,10:00-21:00,鼓楼区中山北路1号
nj_qingao,南京青奥中心,nanjing,现代建筑,青奥会标志性建筑,免费,全天,建邺区
nj_nanjingyan,南京眼步行桥,nanjing,现代建筑,青奥轴线标志性建筑，夜景绝佳,免费,全天,建邺区
nj_dajuyuan,江苏大剧院,nanjing,文化设施,荷叶造型地标建筑,演出票价,演出时间,建邺区
nj_datusha,侵华日军南京大屠杀遇难同胞纪念馆,nanjing,纪念馆,铭记历史勿忘国耻,免费,8:30-16:30,建邺区水西门大街418号
nj_yuhuatai,雨花台,nanjing,纪念馆,革命烈士纪念地,免费,8:00-17:00,雨花台区
