id,name,city_id,type,description,address
nj_dapaidang,南京大牌档,nanjing,餐厅,南京本地特色餐厅，老南京风味,多家分店
nj_qifangge,奇芳阁,nanjing,餐厅,百年老字号，传统淮扬菜,夫子庙
nj_yongheyuan,永和园酒楼,nanjing,餐厅,老字号酒楼,夫子庙
nj_lvliuju,绿柳居,nanjing,餐厅,素菜馆，百年老字号,多家分店
nj_shizilou,狮子楼,nanjing,餐厅,淮扬菜名店,多家分店
nj_maxingxing,马祥兴菜馆,nanjing,餐厅,清真百年老字号,鼓楼区
nj_linggusumian,灵谷素面馆,nanjing,素食,禅意素面馆，草屋山房,灵谷寺
nj_baiweizhai,百味斋素菜馆,nanjing,素食,鸡鸣寺素斋，可俯瞰城墙玄武湖,鸡鸣寺后门
sh_laofandian,老饭店,shanghai,餐厅,本帮佳肴老字号,城隍庙
sh_xinghuanlou,杏花楼,shanghai,餐厅,广式粤茶百年老字号,福州路
sh_hongfangzi,红房子,shanghai,餐厅,法国大菜西餐厅,淮海路
sh_wangjiasha,王家沙,shanghai,餐厅,点心老字号蟹粉小笼八宝饭,南京西路
sh_chenghuangmiao,城隍庙美食,shanghai,美食街,上海传统小吃聚集地,城隍庙
sh_huanghe,黄河路美食街,shanghai,美食街,餐饮一条街,黄河路
sh_yunnanlu,云南路美食街,shanghai,美食街,各地小吃汇聚,云南路
sh_shouninglu,寿宁路美食街,shanghai,美食街,小龙虾一条街,寿宁路
sh_qibaomeishipu,七宝老街美食,shanghai,美食街,七宝古镇小吃聚集地,七宝古镇
bj_quanjude,全聚德,beijing,烤鸭店,北京烤鸭第一品牌，创立于1864年,前门、王府井等多家
bj_bianyifang,便宜坊,beijing,烤鸭店,焖炉烤鸭百年老字号,崇文门等多家
bj_donglasishun,东来顺,beijing,火锅,涮羊肉老字号，铜锅涮肉,王府井等多家
bj_huguo寺xiaochi,护国寺小吃,beijing,小吃店,北京传统小吃汇聚,护国寺街
bj_yaojichaogan,姚记炒肝,beijing,小吃店,鼓楼一拐弯儿姚记吃炒肝儿,鼓楼东大街
bj_jiumenxiaochi,九门小吃,beijing,美食城,北京传统小吃聚集地,后海
bj_xianyu鲜鱼口,鲜鱼口美食街,beijing,美食街,前门美食街，老字号聚集,前门
bj_huguosi,护国寺美食街,beijing,美食街,北京小吃一条街,西城区护国寺
bj_guijie,簋街,beijing,美食街,24小时营业的深夜食堂,东直门
lhasa_magiaimi,玛吉阿米,lhasa,餐厅,传说六世达赖情人居住地改建，藏餐西餐都有,八廓街
lhasa_linxia,临夏风味王中王,lhasa,餐厅,清真特色餐厅,八廓街
lhasa_guangming,光明港琼甜茶馆,lhasa,茶馆,拉萨最著名甜茶馆，体验当地生活,八廓街附近
