id,name,city_id,category,description
nj_yunjin,云锦,nanjing,工艺品,南京三宝之一，寸锦寸金
nj_yuhuashi,雨花石,nanjing,工艺品,南京特产石头
nj_bowuyuanwenchuang,南京博物院文创,nanjing,文创,国宝文创产品
nj_meihuayishu,梅花艺术品,nanjing,工艺品,南京市花相关艺术品
nj_tiangongjinhe,天工锦合创意木品,nanjing,工艺品,创意木制工艺品
nj_jianzhi,南京剪纸,nanjing,工艺品,非遗传承工艺
nj_jinlingkejing,金陵刻经,nanjing,工艺品,非遗传承印刷技艺
nj_jinlingqinpai,金陵琴派,nanjing,文化,非遗古琴流派
sh_chenghuangmiaotechan,城隍庙特产,shanghai,特产,梨膏糖五香豆等
sh_zhangxiaoquan,张小泉剪刀,shanghai,工艺品,百年老字号
sh_zhuciyuanshanzhe,竹刺绣扇子,shanghai,工艺品,传统手工艺
tibet_tangka,唐卡,tibet,工艺品,藏族传统绘画艺术
tibet_zangdao,藏刀,tibet,工艺品,藏族传统工艺
tibet_zhuanjingtong,转经筒,tibet,宗教用品,藏传佛教用品
tibet_foxiang,佛像,tibet,宗教用品,藏传佛教艺术品
tibet_ditan,藏毯,tibet,工艺品,高原手工地毯
tibet_tianzhut,天珠,tibet,饰品,藏族传统饰品
tibet_suyoudeng,酥油灯,tibet,宗教用品,藏传佛教用品

